                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.129,                 3.8432,                 1.1092,                0.43753,                0.29803,                0.27722,                0.23919,                0.65108,                 4.5945,                 0.8507,               0.000105,               0.000105,               0.000105
                      1,                0.75534,                 1.5469,                0.93412,                0.91171,                0.98459,                0.98911,                0.82418,                 0.6306,                 1.0184,                0.86764,             0.00020436,             0.00020436,             0.00020436
                      2,                0.68562,                0.85596,                 0.9105,                0.96212,                0.99596,                0.99188,                0.83758,                0.66294,                0.69114,                0.85558,             0.00029283,             0.00029283,             0.00029283
                      3,                0.68805,                0.70577,                  0.906,                0.97369,                0.99211,                  0.995,                0.86886,                0.59935,                0.51558,                0.84516,              0.0003704,              0.0003704,              0.0003704
                      4,                0.63459,                0.63018,                0.90653,                0.94018,                      1,                  0.995,                0.87332,                0.58783,                0.49138,                0.83452,               0.000401,               0.000401,               0.000401
                      5,                0.62485,                0.59198,                0.89829,                0.98051,                0.98949,                  0.995,                0.88478,                0.58102,                0.41552,                 0.8319,               0.000401,               0.000401,               0.000401
                      6,                0.60828,                0.51148,                 0.8904,                0.96163,                0.99049,                  0.995,                0.86358,                  0.596,                 0.4031,                0.83813,             0.00037625,             0.00037625,             0.00037625
                      7,                0.60225,                0.50013,                0.88242,                0.96585,                 0.9936,                  0.995,                0.86742,                0.58965,                0.38316,                0.83587,              0.0003515,              0.0003515,              0.0003515
                      8,                0.59367,                0.47818,                0.87881,                  0.966,                      1,                  0.995,                0.87176,                0.58121,                0.36419,                0.83314,             0.00032675,             0.00032675,             0.00032675
                      9,                0.59285,                0.45137,                0.88001,                0.98073,                      1,                  0.995,                0.88104,                0.60078,                0.33619,                 0.8459,               0.000302,               0.000302,               0.000302
                     10,                0.58212,                0.46834,                0.88842,                0.98138,                      1,                  0.995,                0.87844,                0.56157,                0.31943,                0.83423,             0.00027725,             0.00027725,             0.00027725
                     11,                0.55046,                0.39967,                 0.8699,                 0.9713,                0.99138,                  0.995,                0.88992,                0.54014,                0.32288,                0.82553,              0.0002525,              0.0002525,              0.0002525
                     12,                0.54394,                 0.3987,                0.86915,                0.98052,                      1,                  0.995,                0.88205,                0.54226,                0.31552,                0.82605,             0.00022775,             0.00022775,             0.00022775
                     13,                0.53343,                0.38832,                0.86181,                 0.9842,                      1,                  0.995,                0.88762,                0.53458,                0.30472,                0.81907,               0.000203,               0.000203,               0.000203
                     14,                0.53043,                0.37371,                0.86622,                  0.982,                      1,                  0.995,                0.87878,                0.55021,                0.30383,                 0.8228,             0.00017825,             0.00017825,             0.00017825
                     15,                0.51608,                0.36614,                0.85822,                0.98146,                      1,                  0.995,                0.89426,                0.52403,                0.29628,                0.81795,              0.0001535,              0.0001535,              0.0001535
                     16,                0.50736,                0.35429,                0.85969,                0.98677,                      1,                  0.995,                0.89421,                0.53318,                0.28547,                0.81993,             0.00012875,             0.00012875,             0.00012875
                     17,                0.49753,                0.35177,                 0.8649,                0.98618,                      1,                  0.995,                0.88896,                0.52187,                 0.2771,                0.81689,               0.000104,               0.000104,               0.000104
                     18,                0.48895,                0.32732,                0.85386,                0.98778,                0.99677,                  0.995,                0.90186,                0.51574,                 0.2697,                0.81391,              7.925e-05,              7.925e-05,              7.925e-05
                     19,                0.47603,                0.32331,                0.83938,                0.98646,                      1,                  0.995,                0.89905,                0.51836,                0.26842,                0.81332,               5.45e-05,               5.45e-05,               5.45e-05
