                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0465,                 2.5276,                  1.154,                0.92742,                 0.9447,                0.98174,                 0.8116,                0.60634,                 1.0971,                0.93831,             0.00016497,             0.00016497,             0.00016497
                      1,                0.84347,                0.78768,                 1.0549,                0.89079,                0.98831,                0.99189,                0.83003,                0.66835,                0.60379,                 0.9856,             0.00032507,             0.00032507,             0.00032507
                      2,                0.80521,                0.62521,                 1.0369,                0.93858,                 0.9753,                0.99225,                0.84705,                0.68972,                0.49701,                0.99872,             0.00047857,             0.00047857,             0.00047857
                      3,                0.79878,                0.55925,                 1.0316,                0.91703,                0.96626,                0.98714,                0.84593,                0.59747,                0.46757,                0.95494,              0.0004703,              0.0004703,              0.0004703
                      4,                0.75602,                0.52818,                 1.0171,                0.93662,                0.97838,                0.97826,                0.85114,                0.58646,                0.50474,                0.91898,              0.0004703,              0.0004703,              0.0004703
                      5,                0.75127,                 0.4974,                 1.0072,                0.95991,                0.97406,                0.99299,                0.83175,                0.65036,                 0.3634,                0.95721,              0.0004604,              0.0004604,              0.0004604
                      6,                0.71925,                0.46269,                 1.0022,                0.93482,                0.98886,                0.99062,                0.84067,                0.61047,                0.38425,                0.91494,              0.0004505,              0.0004505,              0.0004505
                      7,                0.71031,                 0.4539,                0.99484,                0.94428,                0.98747,                0.99431,                0.87709,                0.54793,                 0.3281,                0.89989,              0.0004406,              0.0004406,              0.0004406
                      8,                0.68885,                0.43378,                0.97568,                0.94199,                0.98113,                0.98847,                0.85363,                0.56946,                0.35835,                0.90884,              0.0004307,              0.0004307,              0.0004307
                      9,                0.68845,                0.43757,                0.98684,                0.96247,                0.97113,                0.99294,                 0.8681,                0.48374,                0.30265,                0.86537,              0.0004208,              0.0004208,              0.0004208
                     10,                0.67684,                0.41839,                 0.9794,                0.96376,                0.97914,                0.99362,                0.86729,                0.51615,                0.31672,                0.88422,              0.0004109,              0.0004109,              0.0004109
                     11,                 0.6569,                0.41561,                0.97373,                0.95545,                0.97438,                0.98947,                0.86403,                0.47511,                0.38948,                0.87947,               0.000401,               0.000401,               0.000401
                     12,                0.65309,                0.40128,                0.96771,                0.94797,                0.98714,                0.99252,                0.88015,                0.47015,                0.28121,                0.86533,              0.0003911,              0.0003911,              0.0003911
                     13,                   0.65,                0.38889,                0.96825,                 0.9591,                0.99173,                0.99375,                0.87074,                0.50242,                0.28411,                0.86667,              0.0003812,              0.0003812,              0.0003812
                     14,                0.63309,                 0.3784,                 0.9562,                0.93629,                0.98367,                 0.9917,                0.88849,                0.43608,                0.26306,                0.85524,              0.0003713,              0.0003713,              0.0003713
                     15,                0.62505,                0.38309,                0.95013,                0.92334,                0.98407,                0.99212,                0.86851,                0.48216,                0.28692,                0.86358,              0.0003614,              0.0003614,              0.0003614
                     16,                0.60944,                0.37825,                0.94274,                0.97246,                0.98064,                0.99252,                0.88382,                0.46513,                0.24498,                0.85675,              0.0003515,              0.0003515,              0.0003515
